,genre
0,"SE,CP"
1,"SE,CP"
2,"RE,SE,CP"
3,"SE,CP"
4,"RE,SE,CP"
5,"RE,SE,CP"
6,SE
7,"RE,SE,CP"
8,"SE,MA"
9,"SE,CP"
10,"RE,SE"
11,"SE,CP"
12,"RE,SE"
13,"SE,CP"
14,"RE,SE"
15,SE
16,"SE,CP"
17,CP
18,"RE,SE,CP"
19,SE
20,"SE,CP"
21,"SE,CP"
22,"SE,MA"
23,"SE,CP"
24,"SE,CP"
25,"RE,SE,CP"
26,"RE,SE"
27,"RE,SE"
28,SE
29,"SE,CP"
30,"SE,CP"
31,"SE,MA,CP"
32,"SE,CP"
33,"RE,SE"
34,"RE,CP"
35,"SE,MA"
36,"SE,CP"
37,"RE,SE"
38,"SE,CP"
39,"SE,CP"
40,"RE,SE,CP"
41,"RE,SE"
42,"SE,CP"
43,"RE,SE,CP"
44,"SE,CP"
45,"SE,CP"
46,CP
47,SE
48,"SE,CP"
49,"RE,SE,CP"
50,"SE,CP"
51,RE
52,"SE,CP"
53,CP
54,"SE,CP"
55,"RE,SE"
56,"SE,CP"
57,"SE,CP"
58,"SE,CP"
59,"SE,CP"
60,"RE,SE,CP"
61,"RE,SE"
62,"SE,CP"
63,CP
64,"RE,SE,CP"
65,"RE,CP"
66,"RE,SE,CP"
67,"SE,CP"
68,SE
69,"SE,CP"
70,"RE,SE,CP"
71,"SE,MA,CP"
72,"RE,SE,CP"
73,"RE,SE,CP"
74,"SE,CP"
75,"RE,SE,CP"
76,"RE,SE"
77,"SE,CP"
78,"SE,CP"
79,"SE,CP"
80,"RE,SE,CP"
81,"SE,CP"
82,"SE,CP"
83,"SE,CP"
84,SE
85,"SE,CP"
86,SE
87,"RE,SE"
88,"RE,SE,MA,CP"
89,SE
90,"SE,CP"
91,"SE,CP"
92,"RE,SE,CP"
93,"SE,CP"
94,"RE,SE,CP"
95,"SE,CP"
96,"RE,SE,MA,CP"
97,SE
98,CP
99,"SE,CP"
100,"RE,SE,CP"
101,"SE,CP"
102,"SE,CP"
103,"RE,SE,MA,CP"
104,"SE,CP"
105,"SE,CP"
106,"SE,CP"
107,"RE,SE,CP"
108,"RE,SE"
109,"SE,MA,CP"
110,"RE,SE,CP"
111,"SE,CP"
112,"SE,CP"
113,SE
114,SE
115,"SE,CP"
116,"RE,SE,CP"
117,"RE,SE,CP"
118,SE
119,SE
120,"SE,CP"
121,"SE,CP"
122,MA
123,"SE,CP"
124,SE
125,"SE,CP"
126,"SE,CP"
127,"RE,SE,CP"
128,"SE,CP"
129,SE
130,"SE,CP"
131,"SE,CP"
132,"SE,MA,CP"
133,"SE,CP"
134,"SE,CP"
135,"SE,CP"
136,"SE,CP"
137,"RE,SE,CP"
138,"SE,CP"
139,"RE,SE,CP"
140,"SE,CP"
141,"SE,CP"
142,"SE,CP"
143,"RE,SE,CP"
144,"SE,CP"
145,"SE,CP"
146,"RE,SE,CP"
147,"SE,CP"
148,SE
149,"SE,CP"
150,"SE,CP"
151,"SE,CP"
152,"RE,SE,CP"
153,"RE,SE,CP"
154,"RE,SE,CP"
155,"RE,SE,MA,CP"
156,CP
157,SE
158,"SE,CP"
159,"RE,SE,CP"
160,"RE,SE,CP"
161,SE
162,"SE,CP"
163,"SE,CP"
164,"RE,SE,CP"
165,CP
166,"SE,MA"
167,"MA,CP"
168,"RE,SE,CP"
169,"SE,CP"
170,"RE,SE,CP"
171,"SE,MA,CP"
172,"SE,CP"
173,"SE,MA,CP"
174,"RE,SE,CP"
175,"SE,CP"
176,"SE,CP"
177,"SE,CP"
178,"RE,SE,MA,CP"
179,"SE,CP"
180,"SE,CP"
181,"RE,SE,CP"
182,"SE,CP"
183,"SE,CP"
184,"SE,CP"
185,"SE,CP"
186,SE
187,"RE,SE,CP"
188,"SE,CP"
189,SE
190,"SE,CP"
191,"RE,SE,CP"
192,"SE,CP"
193,"RE,SE,CP"
194,"SE,CP"
195,"SE,CP"
196,CP
197,"RE,SE"
198,"RE,SE,CP"
199,"SE,MA,CP"
200,SE
201,"RE,SE"
202,"SE,CP"
203,SE
204,"SE,CP"
205,"SE,CP"
206,"SE,CP"
207,"RE,SE,CP"
208,"RE,SE,CP"
209,"SE,CP"
210,"SE,CP"
211,"SE,MA,CP"
212,"RE,SE"
213,"RE,SE,CP"
214,"RE,SE"
215,"SE,CP"
216,"SE,CP"
217,"SE,CP"
218,"SE,CP"
219,"SE,CP"
220,"SE,CP"
221,"SE,CP"
222,"RE,SE"
223,"SE,CP"
224,"RE,SE,CP"
225,"SE,CP"
226,"SE,CP"
227,"SE,CP"
228,CP
229,"RE,SE,CP"
230,"SE,CP"
231,"SE,CP"
232,"SE,CP"
233,"SE,CP"
234,CP
235,"SE,CP"
236,"SE,CP"
237,"SE,CP"
238,"SE,CP"
239,CP
240,SE
241,"RE,SE,CP"
242,"SE,MA,CP"
243,CP
244,"RE,SE,CP"
245,"SE,CP"
246,"RE,SE"
247,CP
248,"SE,CP"
249,"RE,SE,CP"
250,"SE,CP"
251,"RE,SE,CP"
252,"RE,SE,CP"
253,SE
254,"RE,SE,CP"
255,"SE,MA,CP"
256,"SE,MA"
257,SE
258,"SE,CP"
259,"RE,SE"
260,"SE,CP"
261,SE
262,"SE,CP"
263,"SE,CP"
264,"SE,CP"
265,SE
266,"SE,CP"
267,"RE,SE,CP"
268,SE
269,"SE,CP"
270,"SE,CP"
271,"SE,CP"
272,"SE,CP"
273,"SE,CP"
274,"SE,CP"
275,"RE,SE,CP"
276,"SE,MA,CP"
277,"RE,SE,CP"
278,SE
279,"SE,CP"
280,"SE,CP"
281,"SE,CP"
282,"SE,CP"
283,SE
284,"SE,CP"
285,"RE,SE,CP"
286,SE
287,"SE,CP"
288,"SE,CP"
289,"SE,CP"
290,SE
291,"RE,SE"
292,RE
293,"SE,CP"
