city,country,lat,lng,counts
Ontario,Canada,42.9849233,-81.2452768,283.0
Kansas,United States,37.6414235,-97.3883057,1474.0
Indiana,United States,41.6347726,-84.9994088,1474.0
Western Cape,South Africa,-33.9248685,18.4240553,51.0
Hauts-de-France,France,50.27247999999999,1.667315,78.0
Hauts-de-France,France,50.27247999999999,1.667315,78.0
La Pampa,Argentina,-38.416097,-63.61667199999999,268.0
Dakar,Senegal,14.716677,-17.4676861,80.0
California,United States,34.1442616,-118.0019482,1474.0
California,United States,34.1442616,-118.0019482,1474.0
Virginia,United States,36.7096085,-81.97694489999999,1474.0
Arkansas,United States,34.0325478,-93.6729312,1474.0
California,United States,35.3727406,-117.6347823,1474.0
Indiana,United States,41.6347726,-84.9994088,1474.0
Provincia de Guanacaste,Costa Rica,10.5645303,-85.3999051,281.0
Provincia de Guanacaste,Costa Rica,10.5645303,-85.3999051,281.0
Provincia de Guanacaste,Costa Rica,10.5645303,-85.3999051,281.0
,Hungary,47.69423159999999,19.140119,5.0
Lagos,Nigeria,6.5243793,3.3792057,115.0
California,United States,35.3727406,-117.6347823,1474.0
California,United States,35.3727406,-117.6347823,1474.0
Provincia de Guanacaste,Costa Rica,10.5645303,-85.3999051,281.0
Provincia de Guanacaste,Costa Rica,10.5645303,-85.3999051,281.0
Indiana,United States,41.6347726,-84.9994088,1474.0
Indiana,United States,41.6347726,-84.9994088,1474.0
Provincia de Buenos Aires,Argentina,-35.4891431,-62.97563270000001,268.0
Provincia de Buenos Aires,Argentina,-35.4891431,-62.97563270000001,268.0
Provincia de Guanacaste,Costa Rica,10.5645303,-85.3999051,281.0
Provincia de Guanacaste,Costa Rica,10.5645303,-85.3999051,281.0
Provincia de Guanacaste,Costa Rica,10.5645303,-85.3999051,281.0
Zeeland,Netherlands,51.28268389999999,3.7587171,35.0
Zeeland,Netherlands,51.28268389999999,3.7587171,35.0
Zeeland,Netherlands,51.28268389999999,3.7587171,35.0
Arkansas,United States,33.6670615,-93.5915665,1474.0
Kansas,United States,37.09024,-95.712891,1474.0
Centre,Burkina Faso,12.3714277,-1.5196603,75.0
Pennsylvania,United States,40.3409251,-76.4113497,1474.0
Pennsylvania,United States,40.3409251,-76.4113497,1474.0
Pennsylvania,United States,40.3409251,-76.4113497,1474.0
Schleswig-Holstein,Germany,54.52246220000001,9.8819023,33.0
Arizona,United States,35.24945659999999,-112.1910031,1474.0
Michigan,United States,42.7875235,-86.1089301,1474.0
Provincia de Guanacaste,Costa Rica,10.6345964,-85.4406747,281.0
Michigan,United States,42.7875235,-86.1089301,1474.0
Lagos,Nigeria,6.5243793,3.3792057,115.0
Provincia de Guanacaste,Costa Rica,10.6345964,-85.4406747,281.0
New Jersey,United States,39.5333379,-74.6868815,1474.0
New Jersey,United States,39.5333379,-74.6868815,1474.0
New Jersey,United States,39.5333379,-74.6868815,1474.0
New Jersey,United States,39.5333379,-74.6868815,1474.0
Viken,Norway,59.5216705,10.6884939,26.0
,Hungary,47.69423159999999,19.140119,5.0
Kansas,United States,37.09024,-95.712891,1474.0
Ontario,Canada,42.9849233,-81.2452768,283.0
Kansas,United States,37.09024,-95.712891,1474.0
Viken,Norway,59.5216705,10.6884939,26.0
Viken,Norway,59.5216705,10.6884939,26.0
Viken,Norway,59.5216705,10.6884939,26.0
Provincia de Guanacaste,Costa Rica,10.5645303,-85.3999051,281.0
